1/2 Frequency,1/2 Frequency,1/2 Frequency,1/2 Frequency,1/2 Frequency,1/2 Frequency
S=0,S=5,S=10,S=15,S=20,S=22
0.99,1.08,1.16,1.45,1.92,2.1
1.11,1.19,1.22,1.26,1.74,2.46
0.99,1.07,1.07,1.37,1.88,2.13
1.16,1.15,1.2,1.32,1.63,2.41
1.02,1.06,1.13,1.31,2.06,2.13
1.21,1.06,1.18,1.35,1.64,2.44
1.11,1.14,1.1,1.34,1.93,2.12
1.01,1.08,1.33,1.28,1.53,2.56
1.05,1.13,1.1,1.39,1.99,2.16
1.04,1.07,1.21,1.33,1.66,2.4
0.98,1.12,1.19,1.34,1.95,2
1.21,1.1,1.23,1.53,2.03,2.56
1.08,1.06,1.08,1.28,1.74,2.06
1.13,1.01,1.19,1.33,1.82,2.55
0.94,1.05,1.14,1.4,1.77,2.01
1.06,1.1,1.25,1.46,1.95,2
1.06,1.17,1.21,1.22,1.61,2.41
1.12,1.15,1.13,1.41,1.95,2.57
0.99,1.11,1.15,1.35,1.96,2.55
1.16,1.09,1.14,1.36,1.68,2.16
