1/2 Frequency,1/2 Frequency,1/2 Frequency,1/2 Frequency,1/2 Frequency,1/2 Frequency,1/2 Frequency,1/2 Frequency,1/2 Frequency
L2/L1=0.7,L2/L1=0.8,L2/L1=0.9,L2/L1=0.95,L2/L1=1,L2/L1=1.05,L2/L1=1.1,L2/L1=1.2,L2/L1=1.3
0.8371838521,0.7882606127,0.7982854264,0.8115357426,0.8604060036,0.8700301492,0.8328207184,0.8479171171,0.8955956638
0.7044873776,0.7732305928,0.8060887463,0.8564540596,0.8609835971,0.8463749111,0.8247399425,0.873391014,0.8961793745
0.6963738164,0.7644757603,0.95,0.7898866844,0.8629109782,0.8553726242,0.8600007231,0.8895985403,0.8745862604
0.7398521227,0.7713583677,0.84156023,0.8176597074,0.8795967482,0.8564660806,0.8357093121,0.8522735276,0.8831964548
0.6724711484,0.7565624785,0.8538979453,0.8228955475,0.8564215743,0.8443860357,0.8663733521,0.8762805073,0.853936959
0.7432622051,0.8140290682,0.8049358438,0.8593713114,0.8355618076,0.835085468,0.8242967195,0.8610692559,0.8694999063
0.7829393435,0.8141287287,0.840294038,0.8529705637,0.8128180174,0.8335684863,0.8326956433,0.8420122224,0.8953541802
0.6104489215,0.7778176847,0.8308685785,0.8052827732,0.8494965714,0.8739667555,0.8406362961,0.8857853798,0.8687403429
0.8080357337,0.747364721,0.8402260766,0.7912038637,0.869883552,0.8252413041,0.8371878179,0.8355400255,0.8813430112
0.6770491633,0.7741172922,0.7677899403,0.8445999726,0.8261408587,0.8579622707,0.8457456029,0.8715608682,0.8565293644
0.6142795446,0.7303266481,0.8588481159,0.7997094138,0.8493755545,0.8423966751,0.8547676015,0.8395836628,0.9060833913
0.8174712418,0.7462083649,0.9,0.8618643638,0.8481494031,0.860889866,0.874129802,0.8733215058,0.8511610182
0.6585465546,0.8100029487,0.7975495579,0.8094543442,0.8080408217,0.8265962574,0.8694078333,0.8649497099,0.9028484933
0.8667097474,0.7611249247,0.8243859153,0.86414651,0.8735094599,0.8728894502,0.8506206283,0.8481003384,0.8798438209
0.6296509586,0.8082967187,0.8315012552,0.8565287665,0.8760270453,0.8347328373,0.8278389577,0.8686435142,0.8626904096
0.7486454399,0.7574205894,0.8441104937,0.8543489395,0.8513655867,0.8483995267,0.8819189894,0.8340296082,0.8830090323
0.7004229693,0.806636999,0.7649649032,0.7871896649,0.8378631101,0.8437393991,0.8540565795,0.8670803247,0.8819927385
0.8287724749,0.7832839443,0.7660061097,0.8348852595,0.8112198407,0.854606513,0.8542648563,0.8892867853,0.8694686688
0.7570450806,0.7708977727,0.816741878,0.8631987986,0.8464765027,0.8408696275,0.8386861771,0.8726247995,0.8501390964
0.6642284462,0.7890550636,0.7592853186,0.8023944645,0.8035570662,0.8584070847,0.8760814351,0.8317958936,0.8911697882
