1/2 Frequency,1/2 Frequency,1/2 Frequency,1/2 Frequency,1/2 Frequency,1/2 Frequency
D=90,D=80,D=70,D=60,D=50,D=40
0.59,0.68,0.74,0.81,1.09,1.34
0.63,0.68,0.79,0.9,1.17,1.3
0.55,0.69,0.76,0.84,1.08,1.35
0.6,0.7,0.68,0.92,1.03,1.43
0.63,0.7,0.84,0.9,1.04,1.27
0.63,0.63,0.75,0.91,1.06,1.3
0.61,0.64,0.81,0.86,1.09,1.38
0.58,0.68,0.76,0.95,1.08,1.4
0.56,0.7,0.79,0.84,1.11,1.27
0.61,0.63,0.75,0.85,1.05,1.42
0.6,0.64,0.7,0.96,1.08,1.27
0.68,0.68,0.76,1.01,1.06,1.48
0.51,0.71,0.73,0.88,1.08,1.26
0.66,0.75,0.8,0.87,1.09,1.46
0.58,0.66,0.77,0.86,1.07,1.23
0.54,0.63,0.83,0.92,1.1,1.44
0.63,0.69,0.75,0.91,1.02,1.42
0.53,0.67,0.79,0.9,1.07,1.26
0.58,0.68,0.7,0.85,1.06,1.31
0.61,0.64,0.81,0.84,1.05,1.43
